Fri Oct 29 12:31:33 2021    profile_training.prof

         19327317 function calls (18268618 primitive calls) in 198.618 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      180    0.000    0.000    0.000    0.000 {built-in method from_bytes}
   364788    0.083    0.000    0.083    0.000 {method 'append' of 'list' objects}
    35083    0.014    0.000    0.014    0.000 {method 'insert' of 'list' objects}
       38    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      228    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
    90400    0.048    0.000    0.048    0.000 {built-in method torch._C._get_cudnn_enabled}
    97792    0.034    0.000    0.034    0.000 {built-in method torch._C.set_grad_enabled}
    97792    0.052    0.000    0.052    0.000 {built-in method torch._C.is_grad_enabled}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_isInBadFork}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_isDriverSufficient}
     3636    0.014    0.000    0.014    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
   293832    0.177    0.000    0.177    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      200    0.001    0.000    0.001    0.000 {method 'item' of 'torch._C._TensorBase' objects}
    22600    0.075    0.000    0.075    0.000 {method 'long' of 'torch._C._TensorBase' objects}
    22600    0.008    0.000    0.008    0.000 {method 'ndimension' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 {method 'new' of 'torch._C._TensorBase' objects}
      100    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
   203844    0.269    0.000    0.269    0.000 {method 'size' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 {method 'storage' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 {method 'storage_offset' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
    91037    0.237    0.000    0.237    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     4800    0.028    0.000    0.028    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
     2400    0.012    0.000    0.012    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     2400    0.011    0.000    0.011    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
    22600    0.343    0.000    0.343    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
    22724    0.750    0.000    0.750    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
      200    1.281    0.006    1.281    0.006 {method 'coalesce' of 'torch._C._TensorBase' objects}
     3936    0.019    0.000    0.019    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
     2376    0.004    0.000    0.004    0.000 {method 'detach_' of 'torch._C._TensorBase' objects}
    22600    0.135    0.000    0.135    0.000 {method 'expand' of 'torch._C._TensorBase' objects}
    22600    0.117    0.000    0.117    0.000 {method 'expand_as' of 'torch._C._TensorBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
    22600    0.285    0.000    0.285    0.000 {method 'gather' of 'torch._C._TensorBase' objects}
      100    0.002    0.000    0.002    0.000 {method 'indices' of 'torch._C._TensorBase' objects}
       36    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
    45200    1.192    0.000    1.192    0.000 {method 'matmul' of 'torch._C._TensorBase' objects}
      500    0.048    0.000    0.048    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
     4800    0.047    0.000    0.047    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      101    0.007    0.000    0.007    0.000 {method 'repeat' of 'torch._C._TensorBase' objects}
    90501    0.522    0.000    0.522    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
    22600    0.435    0.000    0.435    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
     2400    0.017    0.000    0.017    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
    45801    0.285    0.000    0.285    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
      100    0.002    0.000    0.002    0.000 {method 'std' of 'torch._C._TensorBase' objects}
    22700    0.392    0.000    0.392    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
   180901    1.183    0.000    1.183    0.000 {method 't' of 'torch._C._TensorBase' objects}
    22500    6.124    0.000    6.124    0.000 {method 'to_sparse' of 'torch._C._TensorBase' objects}
       16    0.000    0.000    0.000    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
   112800    0.685    0.000    0.685    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      100    0.002    0.000    0.002    0.000 {method 'values' of 'torch._C._TensorBase' objects}
      101    0.002    0.000    0.002    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     2388    0.006    0.000    0.006    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
       48    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
   406900    0.620    0.000    0.620    0.000 {built-in method torch._C._get_tracing_state}
        8    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C.FloatStorageBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C.FloatStorageBase' objects}
        4    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C.LongStorageBase' objects}
        4    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C.LongStorageBase' objects}
       28    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/frame_stack.py:58(FrameStack)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/frame_stack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/transform_observation.py:4(TransformObservation)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/transform_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/transform_reward.py:4(TransformReward)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/transform_reward.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/fomri/khedema/scheduler/env/lib/python3.7/site-packages/gym/wrappers/resize_observation.py:7(ResizeObservation)
